ZipCode,City,State,County,CityType,Latitude,Longitude
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,P,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
612,ARECIBO,PR,ARECIBO,U,18.388009,-66.665279
613,ARECIBO,PR,ARECIBO,Z,18.4744,-66.7163
614,ARECIBO,PR,ARECIBO,Z,18.4744,-66.7163
616,BAJADERO,PR,ARECIBO,P,18.405484,-66.671233
616,BAJADERO,PR,ARECIBO,U,18.405484,-66.671233
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,P,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
617,BARCELONETA,PR,BARCELONETA,U,18.429792,-66.558109
622,BOQUERON,PR,CABO ROJO,U,17.992876,-67.153699
622,BOQUERON,PR,CABO ROJO,P,17.992876,-67.153699
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,P,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
623,CABO ROJO,PR,CABO ROJO,U,18.083781,-67.152624
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,P,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
624,PENUELAS,PR,PENUELAS,U,18.072797,-66.724825
627,CAMUY,PR,CAMUY,P,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
627,CAMUY,PR,CAMUY,U,18.425195,-66.867756
631,CASTANER,PR,LARES,Z,18.224554,-66.867756
631,CASTANER,PR,LARES,Z,18.224554,-66.867756
636,ROSARIO,PR,SAN GERMAN,Z,18.1647,-67.0797
637,SABANA GRANDE,PR,SABANA GRANDE,P,18.077592,-66.939232
637,SABANA GRANDE,PR,SABANA GRANDE,U,18.077592,-66.939232
